date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
3/21/2025,2024,"Emergency food and livelihood security for women and youth in post-war recovery in Tigray (Ethiopia); Emergency capacity building of the informa! food and water vendors and waste workers in flood-affected Lagos to combat choiera outbreaks (Nigeria); Manufacturing sector recovery project in the State of Palestine; Emergency livelihood support to internally displaced persons affected by camp closures and host community members for the development of an inclusive market system (Iraq), Transferring Japanese 3D-printed prosthetics technology to support landmine victims in Africa (Nigeria); Co-creating agri-tech ecosystem resilience for women, peace and security in Sudan; Inclusive and sustainable industrial development in Africa through the promotion of innovative plastic circular economy solutions (Regional Africa); Supporting green business development for biomass waste valorization with technology from Japan (Tanzania)",5920000,"Japan, Government of",Governments,JPN,2024,2024,,,,United Nations Industrial Development Organization,Multilateral Organizations,"Early Recovery,Food Security,Health,Protection,Protection - Mine Action","EGY,ETH,IRQ,KEN,MAR,NGA,PSE,SDN,SEN,TZA,ZAF,ZMB",,,,2025,2025,financial,Standard,Traditional aid,incoming,shared,paid,3/20/2025,1/27/2025,,822880000,JPY,139,339600,,3/21/2025,3/21/2025
3/21/2025,2024,"Disaster Risk Reduction	Implementing the Sendai Gender Action Plan in Burundi and Kenya",150000,"Japan, Government of",Governments,JPN,2024,2024,,,,UN Office for Disaster Risk Reduction,Multilateral Organizations,Other,"BDI,KEN",,,,2025,2025,financial,Standard,Traditional aid,incoming,shared,paid,3/20/2025,1/28/2025,,20850000,JPY,139,339617,,3/21/2025,3/21/2025
1/9/2025,2025,"Karamoja Strong: Community-led resilience in the face of climate-induced loss, displacement and conflict",4749930,"Denmark, Government of",Governments,DNK,2025,2025,Regional Migrant Response Plan for Horn of Africa to Yemen and Southern Africa 2025,RRHOAY25,1214,Danish Refugee Council,NGOs,Multi-sector,KEN,,,,2025,2025,financial,Standard,Traditional aid,incoming,single,commitment,1/10/2025,1/9/2025,,34000000,DKK,7.158,335743,IATI-ID: 286695,1/11/2025,3/27/2025
12/19/2024,2024,Emergency response to the climate and humanitarian crisis in Kenya,3672613,"Italy, Government of",Governments,ITA,2024,2024,Regional Migrant Response Plan for Horn of Africa to Yemen and Southern Africa 2025,RRHOAY25,1214,Italian Agency for Development Cooperation,Governments,Multi-sector,KEN,,,,2025,2025,financial,Standard,Traditional aid,incoming,single,commitment,3/12/2025,12/19/2024,,3500000,EUR,0.953,339173,012999/01/0 ,3/13/2025,3/13/2025
11/25/2024,2024,"Kenya/CE	Kenya	Program Support",30050,"United States of America, Government of",Governments,USA,2024,2024,,,,Governments,Governments,Other,KEN,,,,2025,2025,financial,Standard,Traditional aid,incoming,single,commitment,11/15/2024,11/15/2024,USAID/BHA,,,,329539,"Kenya/CE	Kenya	Program Support",12/1/2024,1/29/2025
9/30/2024,2025,Flexible humanitarian funding from Save the Children International's Humanitarian Fund,100000,Save the Children,NGOs,USA,2025,2025,,,,Save the Children,NGOs,Protection - Child Protection,KEN,,,,2025,2025,financial,Standard,Traditional aid,incoming,single,commitment,10/25/2024,9/30/2024,,,,,325942,99701275,2/12/2025,2/12/2025
6/24/2024,2024,Regional Programme in Livestock and Pastoralism for Climate Change Adaptation in Eastern/Horn of Africa,0,European Commission,Multilateral Organizations,BELG,2024,2024,,,,Food and Agriculture Organization of the United Nations,Multilateral Organizations,Agriculture,"ETH,KEN,SDN,SOM,SSD,TZA,UGA",,,,2024,2027,financial,Parked,Traditional aid,incoming,shared,commitment,6/27/2024,6/24/2024,Multiyear,0,EUR,0.912,314653,NDICI AFRICA/2023/452-867,7/5/2024,11/25/2024
6/24/2024,2024,Regional Programme in Livestock and Pastoralism for Climate Change Adaptation in Eastern/Horn of Africa,459,European Commission,Multilateral Organizations,BELG,2024,2024,,,,Food and Agriculture Organization of the United Nations,Multilateral Organizations,Agriculture,"ETH,KEN,SDN,SOM,SSD,TZA,UGA",,,,2025,2025,financial,Parked,Cash transfer programming (CTP),incoming,shared,commitment,6/27/2024,6/24/2024,Multiyear,419,EUR,0.912,314658,NDICI AFRICA/2023/452-867,7/5/2024,7/5/2024
6/24/2024,2024,Regional Programme in Livestock and Pastoralism for Climate Change Adaptation in Eastern/Horn of Africa,17036331,European Commission,Multilateral Organizations,BELG,2024,2024,,,,Food and Agriculture Organization of the United Nations,Multilateral Organizations,Agriculture,"ETH,KEN,SDN,SOM,SSD,TZA,UGA",,,,2025,2025,financial,Parked,Traditional aid,incoming,shared,commitment,6/27/2024,6/24/2024,Multiyear,15537134,EUR,0.912,314662,NDICI AFRICA/2023/452-867,7/5/2024,7/5/2024
6/18/2024,2024,"Scale up coverage of nutrition programme for prevention and treatment of wasting through strengthening supply chain, integration of nutrition services within the health system and operationalization of the updated WHO guidelines on the prevention and management of wasting and nutritional Oedema.",0,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,BELG,2024,2024,,,,United Nations Children's Fund,Multilateral Organizations,Protection,KEN,,,,2024,2025,financial,Parked,Traditional aid,incoming,shared,commitment,6/20/2024,6/18/2024,Multiyear,0,EUR,0.923,313443,ECHO/-HF/BUD/2024/91041,11/14/2024,1/23/2025
